id,icao,lat,long,elev
705,KHCR,40.48,-111.43,1708
706,KHCO,48.75,-96.93,250
707,KHCD,44.87,-94.38,320
708,KHBV,27.35,-98.73,200
709,KHAI,41.97,-85.6,250
710,KHAF,37.52,-122.5,11
711,KHAE,39.73,-91.45,230
712,KGZS,35.15,-87.05,198
713,KGZL,35.28,-95.1,176
714,KGYL,44.77,-94.08,304
715,KGYF,26.13,-94.9,65
716,KGYB,30.17,-96.98,140
717,KGWW,35.47,-77.97,40
718,KGWR,46.22,-97.65,381
719,KGWB,41.3,-85.07,268
720,KGVW,29.13,-94.55,37
721,KGVT,33.07,-96.07,165
722,KGVE,38.15,-78.17,138
723,KGRY,27.63,-90.45,58
724,KGRN,42.8,-102.17,1080
725,KGPH,39.33,-94.32,233
726,KGPC,39.63,-86.82,254
727,KGOO,39.22,-121,950
728,KGNT,35.17,-107.9,1988
729,KGNB,40.08,-105.92,2500
730,KGLY,38.35,-93.68,247
731,KGLW,37.03,-85.95,216
732,KGKT,35.85,-83.53,305
733,KGIC,45.95,-116.12,1002
734,KGHW,45.63,-95.32,423
735,KGHG,42.1,-70.67,3
736,KGGP,40.72,-86.37,224
737,KGGI,41.72,-92.73,305
738,KGGF,40.87,-101.73,1044
739,KGGE,33.32,-79.32,9
740,KGDJ,32.45,-97.82,235
741,KGDB,44.75,-95.55,316
742,KGDA,37.33,-88.1,199
743,KGCY,36.2,-82.82,488
744,KGCM,36.3,-95.48,215
745,KGCD,44.4,-118.97,1122
746,KGBK,27.2,-92.2,20
747,KGBG,40.93,-90.43,230
748,KGAO,29.45,-90.27,0
749,KGAF,48.4,-97.37,250
750,KFZG,31.68,-83.27,105
751,KFYM,35.07,-86.57,297
752,KFYJ,37.52,-76.77,3
753,KFYG,38.58,-91,147
754,KFXY,43.23,-93.62,366
755,KFWC,38.38,-88.42,131
756,KFWB,36.7,-93.4,392
757,KFVX,37.35,-78.43,129
758,KFTN,28.22,-100.02,236
759,KFSW,40.67,-91.32,219
760,KFSK,37.8,-94.77,276
761,KFSE,47.58,-95.77,389
762,KFRH,38.5,-86.63,241
763,KFPY,30.07,-83.57,12
764,KFPK,42.57,-84.82,269
765,KFOA,38.67,-88.45,141
766,KFMM,40.33,-103.8,1376
767,KFLY,38.95,-104.57,2096
768,KFKS,44.63,-86.2,189
769,KFKR,40.27,-86.57,260
770,KFKN,36.7,-76.9,9
771,KFHB,30.62,-81.47,4
772,KFGX,38.55,-83.75,279
773,KFGN,49.32,-94.9,327
774,KFFX,43.43,-86,234
775,KFFM,46.28,-96.15,362
776,KFFL,41.05,-91.97,240
777,KFFA,36.02,-75.67,2
778,KFET,41.45,-96.52,366
779,KFEP,42.25,-89.58,255
780,KFDW,34.32,-81.12,174
781,KFBL,44.33,-93.32,318
782,KF70,33.57,-117.13,406
783,KF46,32.93,-96.43,175
784,KF44,32.17,-95.83,137
785,KF05,34.23,-99.28,384
